Size,StraightTimePenalty,RotationPenalty,TotalCells,DeadEndCount,JunctionCount,Degree0Count,Degree1Count,Degree2Count,Degree3Count,Degree4Count,CorridorCellCount,CornerCellCount,CorridorSegmentCount,AverageCorridorLength,LongestStraightCorridor,DeadEndChainDepthAvg,DeadEndChainDepthMax,DeadEndChainCount,DeadEndChainTotal,DeadEndRatio,GoalDirectionOpenness,GoalAlignedEdges,TotalOpenEdges,OpenEdgeDensity,AverageBranchingFactor,BranchingFactorStd,ShortestPathLength,ShortestPathTurns,ReachableCellCount,BFS_TimeSeconds,BFS_VisitedNodes,BFS_ExpandedNodes,BFS_PathLength,BFS_PathTurns,BFS_PathCost,DFS_TimeSeconds,DFS_VisitedNodes,DFS_ExpandedNodes,DFS_PathLength,DFS_PathTurns,DFS_PathCost,Astar_TimeSeconds,Astar_VisitedNodes,Astar_ExpandedNodes,Astar_PathLength,Astar_PathTurns,Astar_PathCost
10,100,150,100,9,7,0,9,84,7,0,46,38,21,2.19,6,4.22,22,9,38,0.09,0.5,99,198,0.495,1.98,0.3995,84,41,100,24.05,100,98,84,41,84,13.2,99,96,84,41,84,25.6,96,96,84,41,84
10,100,150,100,11,9,0,11,80,9,0,40,40,24,1.67,5,4.55,19,11,50,0.11,0.5,99,198,0.495,1.98,0.4468,22,10,100,4.9,27,26,22,10,22,2.85,24,23,22,10,22,2.85,23,23,22,10,22
10,100,150,100,12,10,0,12,78,10,0,35,43,22,1.59,6,3.08,8,12,37,0.12,0.5,99,198,0.495,1.98,0.4686,36,19,100,19.6,49,48,36,19,36,4.7,39,37,36,19,36,17.7,41,41,36,19,36
10,100,150,100,12,10,0,12,78,10,0,29,49,21,1.38,4,2.58,6,12,31,0.12,0.5,99,198,0.495,1.98,0.4686,44,29,100,51.25,72,70,44,29,44,11.1,66,64,44,29,44,16.2,50,50,44,29,44
10,100,150,100,12,10,0,12,78,10,0,39,39,23,1.70,4,4.83,35,12,58,0.12,0.5,99,198,0.495,1.98,0.4686,50,25,100,11.7,58,58,50,25,50,6.95,55,53,50,25,50,8.2,52,52,50,25,50
10,100,150,100,8,6,0,8,86,6,0,33,53,24,1.38,3,8,38,8,64,0.08,0.5,99,198,0.495,1.98,0.3736,58,38,100,22.4,73,73,58,38,58,10.1,69,68,58,38,58,30,73,73,58,38,58
10,100,150,100,10,8,0,10,82,8,0,35,47,22,1.59,3,5.8,23,10,58,0.1,0.5,99,198,0.495,1.98,0.4238,42,28,100,15.3,52,51,42,28,42,5.75,46,43,42,28,42,8.05,45,45,42,28,42
10,100,150,100,10,8,0,10,82,8,0,27,55,20,1.35,3,6.2,36,10,62,0.1,0.5,99,198,0.495,1.98,0.4238,40,31,100,9.05,47,45,40,31,40,11.05,63,62,40,31,40,6.2,42,42,40,31,40
10,100,150,100,16,14,0,16,70,14,0,28,42,19,1.47,6,2.63,16,16,42,0.16,0.5,99,198,0.495,1.98,0.5474,42,30,100,19.1,56,55,42,30,42,9,57,55,42,30,42,13.3,49,49,42,30,42
10,100,150,100,11,9,0,11,80,9,0,45,35,22,2.05,6,4.45,23,11,49,0.11,0.5,99,198,0.495,1.98,0.4468,38,18,100,47.8,57,56,38,18,38,18.25,92,92,38,18,38,18.15,44,44,38,18,38
10,100,150,100,11,9,0,11,80,9,0,32,48,20,1.6,5,3.27,11,11,36,0.11,0.5,99,198,0.495,1.98,0.4468,22,10,100,10.15,30,29,22,10,22,19.75,87,86,22,10,22,4.75,25,25,22,10,22
10,100,150,100,11,9,0,11,80,9,0,38,42,21,1.81,7,2.73,8,11,30,0.11,0.5,99,198,0.495,1.98,0.4468,50,27,100,183.2,92,90,50,27,50,19.15,100,100,50,27,50,97.6,76,76,50,27,50
